Type	Name	Basic	Syntax	Description
Array	ARRAY_CONSTRAIN		"ARRAY_CONSTRAIN(input_range, num_rows, num_cols)"	Constrains an array result to a specified size. Learn more
Array	FLATTEN	1	"FLATTEN(range1,[range2,...])"	Flattens all the values from one or more ranges into a single column. Learn more
Array	FREQUENCY		"FREQUENCY(data, classes)"	Calculates the frequency distribution of a one-column array into specified classes. Learn more
Array	GROWTH		"GROWTH(known_data_y, [known_data_x], [new_data_x], [b])"	"Given partial data about an exponential growth trend, fits an ideal exponential growth trend and/or predicts further values. Learn more"
Array	LINEST		"LINEST(known_data_y, [known_data_x], [calculate_b], [verbose])"	"Given partial data about a linear trend, calculates various parameters about the ideal linear trend using the least-squares method. Learn more"
Array	LOGEST		"LOGEST(known_data_y, [known_data_x], [b], [verbose])"	"Given partial data about an exponential growth curve, calculates various parameters about the best fit ideal exponential growth curve. Learn more"
Array	MDETERM		MDETERM(square_matrix)	Returns the matrix determinant of a square matrix specified as an array or range. Learn more
Array	MINVERSE		MINVERSE(square_matrix)	Returns the multiplicative inverse of a square matrix specified as an array or range. Learn more
Array	MMULT		"MMULT(matrix1, matrix2)"	Calculates the matrix product of two matrices specified as arrays or ranges. Learn more
Array	SUMPRODUCT		"SUMPRODUCT(array1, [array2, ...])"	Calculates the sum of the products of corresponding entries in two equal-sized arrays or ranges. Learn more
Array	SUMX2MY2		"SUMX2MY2(array_x, array_y)"	Calculates the sum of the differences of the squares of values in two arrays. Learn more
Array	SUMX2PY2		"SUMX2PY2(array_x, array_y)"	Calculates the sum of the sums of the squares of values in two arrays. Learn more
Array	SUMXMY2		"SUMXMY2(array_x, array_y)"	Calculates the sum of the squares of differences of values in two arrays. Learn more
Array	TRANSPOSE	1	TRANSPOSE(array_or_range)	Transposes the rows and columns of an array or range of cells. Learn more
Array	TREND		"TREND(known_data_y, [known_data_x], [new_data_x], [b])"	"Given partial data about a linear trend, fits an ideal linear trend using the least squares method and/or predicts further values. Learn more"
Database	DAVERAGE		"DAVERAGE(database, field, criteria)"	Returns the average of a set of values selected from a database table-like array or range using a SQL-like query. Learn more
Database	DCOUNT		"DCOUNT(database, field, criteria)"	Counts numeric values selected from a database table-like array or range using a SQL-like query. Learn more
Database	DCOUNTA		"DCOUNTA(database, field, criteria)"	"Counts values, including text, selected from a database table-like array or range using a SQL-like query. Learn more"
Database	DGET		"DGET(database, field, criteria)"	Returns a single value from a database table-like array or range using a SQL-like query. Learn more
Database	DMAX		"DMAX(database, field, criteria)"	Returns the maximum value selected from a database table-like array or range using a SQL-like query. Learn more
Database	DMIN		"DMIN(database, field, criteria)"	Returns the minimum value selected from a database table-like array or range using a SQL-like query. Learn more
Database	DPRODUCT		"DPRODUCT(database, field, criteria)"	Returns the product of values selected from a database table-like array or range using a SQL-like query. Learn more
Database	DSTDEV		"DSTDEV(database, field, criteria)"	Returns the standard deviation of a population sample selected from a database table-like array or range using a SQL-like query. Learn more
Database	DSTDEVP		"DSTDEVP(database, field, criteria)"	Returns the standard deviation of an entire population selected from a database table-like array or range using a SQL-like query. Learn more
Database	DSUM		"DSUM(database, field, criteria)"	Returns the sum of values selected from a database table-like array or range using a SQL-like query. Learn more
